df2_title	df2_name_parts	df1_title	df1_name_parts
SonIa Ludner	{"given-name": "SonIa", "surname": "Ludner"}	sonya (kurytska) iudner	{"primary-name": "sonya", "alternative-name": "kurytska", "surname": "iudner"}
Sam Lyudner	{"given-name": "Sam", "surname": "Lyudner"}	sem (shmui) iyudner	{"primary-name": "sem", "given-name": "shmui", "alternative-name": "shmui", "surname": "iyudner"}
Chana Macharovska	{"given-name": "Chana", "surname": "Macharovska"}	khnh (gekht) makhorovska	{"given-name": "khnh", "alternative-name": "gekht", "surname": "makhorovska"}
Khana Magid	{"given-name": "Khana", "surname": "Magid"}	khnh mgyd	{"given-name": "khnh", "surname": "mgyd"}
Ida Magidzohn	{"given-name": "Ida", "surname": "Magidzohn"}	eyda (ston) magydzohn	{"given-name": "eyda", "alternative-name": "ston", "surname": "magydzohn"}
Leib Malach	{"given-name": "Leib", "surname": "Malach"}	i (ieyvi zaitsman) mikh	{"given-name": "ieyvi", "alternative-name": "i", "surname": "zaitsman", "honorific": "mikh"}
Israel Mandel	{"given-name": "Israel", "surname": "Mandel"}	yshri (madzhevytsky) mandei	{"given-name": "yshri", "alternative-name": "madzhevytsky", "surname": "mandei"}
M.Sh. Mandel	{"given-name": "M.", "surname": "Mandel"}	m sh mandei	{"acronym": "m sh mundei"}
Annie Manne	{"given-name": "Annie", "surname": "Manne"}	eny (eyzenverg) mane	{"given-name": "eny", "alternative-name": "eyzenverg", "surname": "mane"}
Clara Margolin	{"given-name": "Clara", "surname": "Margolin"}	kiara (vieykhman) margoiyn	{"given-name": "kiara", "alternative-name": "bieykhman", "surname": "margoiyn"}
Edward Margolis	{"given-name": "Edward", "surname": "Margolis"}	edvard (ykusyi) margoiys	{"given-name": "edvard", "alternative-name": "ykusyi", "surname": "margoiys"}
Joseph Markowitz	{"given-name": "Joseph", "surname": "Markowitz"}	yusf markovytsh	{"given-name": "yusf", "surname": "markvytsh"}
Louie Markowitz	{"given-name": "Louie", "surname": "Markowitz"}	iuy markovytsh	{"given-name": "iuy", "surname": "markvytsh"}
Rudolph Marks	{"given-name": "Rudolph", "surname": "Marks"}	rudif (rdkynsn) mrks	{"given-name": "rudif", "alternative-name": "rdkynsn", "surname": "mrks"}
Karl Marmor	{"given-name": "Karl", "surname": "Marmor"}	kari (kimn-tsby) mrmr	{"primary-name": "kari", "alternative-name": "kimn-tsby", "surname": "mrmr"}
Jennie Masoff	{"given-name": "Jennie", "surname": "Masoff"}	zhenye (vynkier) masof	{"given-name": "zhenye", "alternative-name": "vynkier", "surname": "masof"}
Clara Meisels	{"given-name": "Clara", "surname": "Meisels"}	kiara (rydhoer) meyzeis	{"primary-name": "kiara", "alternative-name": "rydhoer", "surname": "meyzeis"}
Hela Mel	{"given-name": "Hela", "surname": "Mel"}	hei mei (meiman)	{"primary-name": "hei mei", "alternative-name": "meiman"}
Moshe Melamed	{"given-name": "Moshe", "surname": "Melamed"}	mshh mimd	{"given-name": "mshh", "surname": "mimd"}
Alter Melitzer	{"given-name": "Alter", "surname": "Melitzer"}	aiter (aiter herts) meiytser	{"primary-name": "meiytser", "given-name": "aiter", "alternative-name": "aiter herts"}
Nachum Melnick	{"given-name": "Nachum", "surname": "Melnick"}	nkhum meinyk	{}: 
Menakhem	{"given-name": "Menakhem"}	mnkhm (mnkhm goidverg)	{"primary-name": "mnkhm", "given-name": "mnkhm", "alternative-name": "mnkhm goidverg", "surname": "goidverg"}
Shlomo Mendelson	{"given-name": "Shlomo", "surname": "Mendelson"}	shimh (kuyavsky) mendeison	{"primary-name": "mendeisun", "given-name": "shimh", "alternative-name": "kuyavsky", "surname": "mendeisun"}
Tessie Meyerowitz	{"given-name": "Tessie", "surname": "Meyerowitz"}	tesy (toyve shtark) meyerovytsh	{"given-name": "tesy", "alternative-name": "toyve shtark", "surname": "meyerovytsh"}
Yehoshua Mezach	{"given-name": "Yehoshua", "surname": "Mezach"}	yhushe (m sgi) mzkh	{"given-name": "yhushe", "alternative-name": "m sgi", "surname": "mzkh"}
Adolfo Mide	{"given-name": "Adolfo", "surname": "Mide"}	adaif (brhm) myde	{"given-name": "dif", "alternative-name": "brhm", "surname": "myde"}
Shmuel Migdalovitsh	{"given-name": "Shmuel", "surname": "Migdalovitsh"}	shmui (mandei) mygdaiovytsh	{"given-name": "shmui", "alternative-name": "mandei", "surname": "mygdaiovytsh"}
Ignatsi Migdalski	{"given-name": "Ignatsi", "surname": "Migdalski"}	ygnatsy (mygdai) mygdaisky	{"primary-name": "mygdaisky", "given-name": "ygnatsy", "alternative-name": "mygdi"}
B. Mikhalevitsh	{"given-name": "B.", "surname": "Mikhalevitsh"}	v (yusf yzvytsky) mykhaievytsh	{"given-name": "yusf", "alternative-name": "yzvytsky", "surname": "mykhaievytsh", "acronym": "v"}
Harry Miller	{"given-name": "Harry", "surname": "Miller"}	hery (hersh maietts) myier	{"given-name": "hery", "alternative-name": "hersh", "surname": "myier"}
Louis E. Miller	{"given-name": "Louis", "middle-name": "E.", "surname": "Miller"}	iuys e (i vandes) myiier	{"given-name": "iuys", "alternative-name": "i vandes", "surname": "myiir", "acronym": "e"}
Marko Milner	{"given-name": "Marko", "surname": "Milner"}	marko (marek) myiner	{"given-name": "marku", "alternative-name": "mrk", "surname": "myiner"}
Eli Mintz	{"given-name": "Eli", "surname": "Mintz"}	eiye (iyhu zats) mynts	{"given-name": "eiye", "alternative-name": "iyhu zats", "surname": "mynts"}
Michael Mintz	{"given-name": "Michael", "surname": "Mintz"}	meykei (mykhi) mynts	{"given-name": "meykei", "alternative-name": "mykhi", "surname": "mynts"}
Rose Mishnun	{"given-name": "Rose", "surname": "Mishnun"}	roze (rashei) myshnun	{"given-name": "roze", "alternative-name": "rashei", "surname": "myshnun"}
Max Mishurat	{"given-name": "Max", "surname": "Mishurat"}	maks (moti) myshurat	{"primary-name": "maks", "alternative-name": "moti", "surname": "myshurat"}
Meyer Mishurat	{"given-name": "Meyer", "surname": "Mishurat"}	myr (ratushnyk) myshurat	{"given-name": "myr", "alternative-name": "ratushnyk", "surname": "myshur"}
Ike Mitnick	{"given-name": "Ike", "surname": "Mitnick"}	eyk mytnyk	{"primary-name": "mytnyk", "given-name": "eyk"}
Amalia Mogulesko	{"given-name": "Amalia", "surname": "Mogulesko"}	amaiye (ynkeishteyn) moguiesko	{"primary-name": "amiye", "alternative-name": "ynkeishteyn", "surname": "moguiesko"}
Ari Monfried	{"given-name": "Ari", "surname": "Monfried"}	ary (dud-ryh rydman) monryd	{"given-name": "ary", "alternative-name": "dud-ryh", "surname": "rydman", "patronymic": "monryd"}
Lazarus Monfried	{"given-name": "Lazarus", "surname": "Monfried"}	iazarus (iyezr) monryd	{"primary-name": "monryd", "given-name": "iazarus", "alternative-name": "iyezr", "surname": "monryd"}
Sam Morris	{"given-name": "Sam", "surname": "Morris"}	sem (shmui-mshh ganz) morys	{"primary-name": "sem", "given-name": "shmui-mshh", "surname": "morys"}
Nadya Moshkovitsh	{"given-name": "Nadya", "surname": "Moshkovitsh"}	nadya (gudevytsh) moshkovytsh	{"primary-name": "nadya", "alternative-name": "gudevytsh", "surname": "moshkovytsh"}
Pasha Moshkovitsh	{"given-name": "Pasha", "surname": "Moshkovitsh"}	pasha (vasya) moshkovytsh	{"given-name": "pasha", "alternative-name": "vasya", "surname": "moshkovytsh"}
Bella Mysell	{"given-name": "Bella", "surname": "Mysell"}	veia meyzei	{"primary-name": "veia meyzei", "given-name": "veia", "surname": "meyzei"}
Noach Nachbush	{"given-name": "Noach", "surname": "Nachbush"}	nkh (vusheievytsh) nakhvush	{"primary-name": "nkh nakhvush", "alternative-name": "busheievytsh", "surname": "nakhvush"}
Bela Nadel	{"given-name": "Bela", "surname": "Nadel"}	veia (nadoisky) nadei	{"alternative-name": "veia", "surname": "nadei", "nisba": "nadoisky"}
Nadina	{"given-name": "Nadina"}	nadyna (n v katsneivoygn)	{"alternative-name": "nadyna", "surname": "katsneivoygn", "acronym": "n v"}
Moishe Nadir	{"given-name": "Moishe", "surname": "Nadir"}	mshh (ytskhk reyz) nadyr	{"given-name": "mshh", "alternative-name": "ytskhk reyz", "surname": "nadyr"}
Leon Nadolsky	{"given-name": "Leon", "surname": "Nadolsky"}	ien (ieyv) nadoisky	{"primary-name": "nadoisky", "given-name": "ien", "alternative-name": "ieyv"}
Sonia Nadolsky	{"given-name": "Sonia", "surname": "Nadolsky"}	sonya (shrh kats) nadoisky	{"given-name": "shrh", "alternative-name": "sonya", "surname": "nadoisky", "matronymic": "kats"}
Doli Nakhbar	{"given-name": "Doli", "surname": "Nakhbar"}	doiy (ury) nkhvr	{"given-name": "ury", "alternative-name": "doiy", "surname": "nkhvr"}
Leah Naomi	{"given-name": "Leah", "middle-name": "Naomi"}	ih (kygei-eyzenverg) nemy	{"given-name": "ih", "alternative-name": "kygei-eyzenverg", "surname": "nemy"}
B. Natan	{"given-name": "B.", "surname": "Natan"}	v (natan vreytman) natan	{"given-name": "natn", "alternative-name": "v (natn vreytman)", "surname": "breytman"}
Amalya Natanson	{"given-name": "Amalya", "surname": "Natanson"}	amaiye (nataiya ) natanson	{"given-name": "amaiye", "alternative-name": "natai", "surname": "natansun"}
Anna Nathanson	{"given-name": "Anna", "surname": "Nathanson"}	anna (myishteyn) natanson	{"given-name": "anna", "alternative-name": "myishteyn", "surname": "natansun"}
Julius Nathanson	{"given-name": "Julius", "surname": "Nathanson"}	dzhuiyus (yuiyus natanson	{"given-name": "yuiyus", "alternative-name": "dzhuiyus", "surname": "natansun"}
Sonia Nathanson	{"given-name": "Sonia", "surname": "Nathanson"}	sony (khyh-shrh) natanson	{"given-name": "sony", "alternative-name": "khyh-shrh", "surname": "natansun"}
Avraham Naumov	{"given-name": "Avraham", "surname": "Naumov"}	brhm naumov	{"given-name": "brhm", "surname": "numu"}
Leye Nelson	{"given-name": "Leye", "surname": "Nelson"}	ieye (katsneison) neison	{"given-name": "ieye", "alternative-name": "katsneison", "surname": "neisun"}
Abraham Neyman	{"given-name": "Abraham", "surname": "Neyman"}	brhm (varakan) neyman	{"given-name": "brhm", "alternative-name": "varakan", "surname": "neymn"}
Shmuel Niger	{"given-name": "Shmuel", "surname": "Niger"}	shmui (tsharny) nyger	{"primary-name": "shmui", "alternative-name": "tsharny", "surname": "nyger"}
Barukh Nord	{"given-name": "Barukh", "surname": "Nord"}	vrukh (venedykt ievyn) nord	{"primary-name": "vrukh", "alternative-name": "venedykt ievyn", "surname": "nord"}
Yosef Norflus	{"given-name": "Yosef", "surname": "Norflus"}	yusf norium	{"given-name": "yusf", "surname": "norium"}
Moritz Norvid	{"given-name": "Moritz", "surname": "Norvid"}	moryts (treier) norvyd	{"primary-name": "moryts", "alternative-name": "treier", "nisba": "norvyd"}
Morris Novikov	{"given-name": "Morris", "surname": "Novikov"}	mrys (vakhnov) nvykov	{"given-name": "mrys", "alternative-name": "vakhnov", "surname": "nvykov"}
Avraham Nusbaum	{"given-name": "Avraham", "surname": "Nusbaum"}	brhm nusvoym	{"given-name": "brhm", "surname": "nusvoym"}
Paulina Offerman	{"given-name": "Paulina", "surname": "Offerman"}	peiyna (peri) oerman	{"given-name": "eiyna", "alternative-name": "peri", "surname": "oerman"}
Sam Ogursky	{"given-name": "Sam", "surname": "Ogursky"}	sem (shmui) agursky	{"primary-name": "gursky", "given-name": "shmui", "alternative-name": "sem"}
Ume Olkenitski	{"given-name": "Ume", "surname": "Olkenitski"}	ume (rume) oikenytsky	{"given-name": "ume", "alternative-name": "rume", "surname": "oikenhytsky"}
Alexander Olshanetsky	{"given-name": "Alexander", "surname": "Olshanetsky"}	aieksander (yhushe) oishanetsky	{"given-name": "aieksander", "alternative-name": "yhushe", "surname": "oishanetsky"}
Joseph Opatoshu	{"given-name": "Joseph", "surname": "Opatoshu"}	yusf (yusf opatovsky) optashu	{"given-name": "yusf", "alternative-name": "yusf", "surname": "opatovsky", "nisba": "optashu"}
Esther Orzhevskaya	{"given-name": "Esther", "surname": "Orzhevskaya"}	ssr (snyegov) orzhevskaya	{"primary-name": "ssr", "alternative-name": "snyegov", "surname": "orzhevskaya"}
Julius Oskar	{"given-name": "Julius", "middle-name": "Oskar"}	yuiyus (eyzenbet) oskar	{"primary-name": "yuiyus", "alternative-name": "eyzenbet", "surname": "oskar"}
Oscar Ostroff	{"given-name": "Oscar", "surname": "Ostroff"}	oskar (yhushe ostrytsky) astrof	{"given-name": "yhushe", "alternative-name": "oskar", "surname": "astrf", "patronymic": "ostrytsky"}
Jacob Paley	{"given-name": "Jacob", "surname": "Paley"}	dzheykob piey	{"given-name": "dzheykob", "surname": "piey"}
Yohan Paley	{"given-name": "Yohan", "surname": "Paley"}	yohan (yunh) piey	{"given-name": "yunh", "alternative-name": "yohan", "surname": "piey"}
H. Papak	{"given-name": "H.", "surname": "Papak"}	h popak	{"given-name": "pop", "acronym": "h"}
Jacob Pat	{"given-name": "Jacob", "middle-name": "P"}	yekb pat	{"primary-name": "yekb pt", "given-name": "yekb", "surname": "pat"}
Elihu Patron	{"given-name": "Elihu", "surname": "Patron"}	iyhu (eiyas) patron	{"given-name": "iyhu", "alternative-name": "eiyas", "surname": "patron"}
Pola Patroni	{"given-name": "Pola", "surname": "Patroni"}	poia (pauiyna patron) patrony	{"primary-name": "poia", "alternative-name": "pauiyna patrun", "surname": "patruny"}
H. Paul	{"given-name": "H.", "surname": "Paul"}	h pui	{"primary-name": "h pui", "acronym": "h"}
Ruchel-Leah Paul	{"given-name": "Ruchel-Leah", "surname": "Paul"}	rkhi-ih poui	{"given-name": "rkhi-ih", "surname": "poui"}
Yosef Paul	{"given-name": "Yosef", "surname": "Paul"}	yusf pui	{"given-name": "yusf", "surname": "pui"}
P. Pavik	{"given-name": "P.", "surname": "Pavik"}	p pvyk	{"surname": "pvyk", "salutation": "p"}
Mordechai Peltz	{"given-name": "Mordechai", "surname": "Peltz"}	mrdkhy peits	{"primary-name": "mrdkhy peits", "given-name": "mrdkhy", "surname": "peits"}
Betty Perlov	{"given-name": "Betty", "surname": "Perlov"}	bety (rozenverg) periov	{"given-name": "bety", "alternative-name": "ruznvrg", "surname": "periov"}
Max Pine	{"given-name": "Max", "surname": "Pine"}	maks peyn	{"primary-name": "maks peyn", "given-name": "maks", "surname": "peyn"}
Daniel Plotkin	{"given-name": "Daniel", "surname": "Plotkin"}	dnyi piatkyn	{"given-name": "dnyi", "surname": "pitkyn"}
Chaim Podlias	{"given-name": "Chaim", "surname": "Podlias"}	kheym podiyas	{"given-name": "kheym", "surname": "pudiys"}
Froyke Podlubny	{"given-name": "Froyke", "surname": "Podlubny"}	royke (rym) podiubny	{"given-name": "rym", "alternative-name": "royke", "surname": "podiubny"}
N.Y. Podlubny	{"given-name": "N.", "middle-name": "Y.", "surname": "Podlubny"}	n y (naum podiubny	{"given-name": "naum", "surname": "podiubny", "acronym": "n y"}
Sholom Podzamce	{"given-name": "Sholom", "surname": "Podzamce"}	shium podzamtshe	{"primary-name": "shium podzamtshe", "given-name": "shium", "surname": "pudzomtshe"}
Toybe Pokh	{"given-name": "Toybe", "surname": "Pokh"}	toybe (yshei) pokh	{"given-name": "toybe", "alternative-name": "yshei", "surname": "pokh"}
Aron Poliakov	{"given-name": "Aron", "surname": "Poliakov"}	hrn (poiyatshek) poiyakov	{"given-name": "hrn", "alternative-name": "poiyatshek", "surname": "poiyakov"}
H. Porski	{"given-name": "H.", "surname": "Porski"}	h (hyrsh porudomynsky) parsky	{"given-name": "hyrsh", "alternative-name": "porudomynsky", "surname": "parsky", "acronym": "h"}
Arnold Pozy	{"given-name": "Arnold", "surname": "Pozy"}	aryh (yshrai aryh pozhkov) pozy	{"primary-name": "aryh pozy", "given-name": "aryh", "alternative-name": "yshrai aryh", "surname": "pozy"}
Jan Pribeagu	{"given-name": "Jan", "surname": "Pribeagu"}	yan (yzyk iazarovytsh) prybeagu	{"given-name": "yzyk", "alternative-name": "yan", "surname": "prybeagu", "patronymic": "iazarovytsh"}
Ruzha Pyekarnik	{"given-name": "Ruzha", "surname": "Pyekarnik"}	ruzha (tarkevytsh) pyekrnyk	{"primary-name": "ruzha", "alternative-name": "tarkevytsh", "surname": "pyekrnyk"}
Malkah Rabell	{"given-name": "Malkah", "surname": "Rabell"}	mikhh (ravynovytsh) rabei	{"given-name": "mikhh", "alternative-name": "ravynovytsh", "surname": "rabei"}
Menachem-Mendl Rabin	{"given-name": "Menachem-Mendl", "surname": "Rabin"}	mnhm-mendi rbyn	{"primary-name": "mnhm-mendi", "surname": "rbyn"}
Leon Rabinowitz	{"given-name": "Leon", "surname": "Rabinowitz"}	ieon (ieybi) rabynovytsh	{"primary-name": "rabynovytsh", "given-name": "ieon", "alternative-name": "ieybi", "surname": "rabynovytsh"}
Rosa Rabinowitz	{"given-name": "Rosa", "surname": "Rabinowitz"}	roza (tararutskaya) rabynovytsh	{"given-name": "roza", "alternative-name": "tarrutskaya", "surname": "rabynovytsh"}
Julius Rakow	{"given-name": "Julius", "surname": "Rakow"}	yuiyus (ykhyi) rakov	{"primary-name": "yuiyus", "alternative-name": "ykhyi", "surname": "rakov"}
Lisa Rappel	{"given-name": "Lisa", "surname": "Rappel"}	iyze (shuimys) rapei	{"given-name": "iyze", "alternative-name": "shuimys", "surname": "rapei"}
Jacob Rechtzeit	{"given-name": "Jacob", "surname": "Rechtzeit"}	yekb rekhttseyt	{"given-name": "yekb", "surname": "rekhttseyt"}
David Reitz	{"given-name": "David", "surname": "Reitz"}	dud reytts (reytsen)	{"primary-name": "reytts (reytsen)", "given-name": "dud"}
Edwin A. Relkin	{"given-name": "Edwin", "middle-name": "A.", "surname": "Relkin"}	edvyn  (aroid reikyn	{"given-name": "edvyn", "alternative-name": "aroid", "surname": "reikyn", "acronym": ""}
[?] Ribak	{"given-name": "[?]", "surname": "Ribak"}	ryvk ()	{"primary-name": "ryvk", "surname": "ryvk"}
Vera Rosanko	{"given-name": "Vera", "surname": "Rosanko"}	vyera (shre vyner) rozanko	{"given-name": "shre", "alternative-name": "vyera", "surname": "rozanko"}
Avraham Rosen	{"given-name": "Avraham", "surname": "Rosen"}	brhm rzen	{"given-name": "brhm", "surname": "rzen"}
Israel Rosenberg	{"given-name": "Israel", "surname": "Rosenberg"}	yshri (ameryke) rozenverg	{"primary-name": "rozenverg", "given-name": "yshri", "alternative-name": "ameryke"}
Adolf Rosenblum	{"given-name": "Adolf", "surname": "Rosenblum"}	adoif (hrun) rozenvium	{"given-name": "adf", "alternative-name": "hrun", "surname": "rozenvium"}
Betty Rosenblum	{"given-name": "Betty", "surname": "Rosenblum"}	vety (veyie) rozenvium	{"given-name": "vety", "alternative-name": "veyie", "surname": "rozenvium"}
Yasha Rosenthal	{"given-name": "Yasha", "surname": "Rosenthal"}	yasha (yekb-ver) rozentai	{"primary-name": "rozentai", "given-name": "yasha", "alternative-name": "yekb-ver"}
Henry Russotto	{"given-name": "Henry", "surname": "Russotto"}	henry (heymnesvyzhky) rusota	{"primary-name": "henry", "alternative-name": "heymnesvyzhky", "surname": "rusota"}
Harry Sackler	{"given-name": "Harry", "surname": "Sackler"}	hery (tsby-hersh) sekier	{"primary-name": "hery", "alternative-name": "tsby-hersh", "surname": "sekier"}
Max Sadowski	{"given-name": "Max", "surname": "Sadowski"}	maks (mrdkhy) shadvsky	{"given-name": "mrdkhy", "alternative-name": "maks", "surname": "shadvsky"}
Michael Saks	{"given-name": "Michael", "surname": "Saks"}	mykhayi (sadeygursky) saks	{"given-name": "mykhayi", "alternative-name": "sadygursky", "surname": "saks"}
S. Samuilov	{"given-name": "S.", "surname": "Samuilov"}	s (shimh rezydent) samuyiov	{"given-name": "shimh", "alternative-name": "rezydent", "surname": "samuyiov", "salutation": "s"}
A. Sando	{"given-name": "A.", "surname": "Sando"}	 (aieksangeru-samueiy) sandu	{"given-name": "aieksangeru-samueiy", "surname": "sandu", "acronym": ""}
Izzy Sapozhnikov	{"given-name": "Izzy", "surname": "Sapozhnikov"}	yzy (ysak) sapozhnykov	{"given-name": "ysak", "alternative-name": "yzy", "surname": "sapozhnykov"}
Ludwig Satz	{"given-name": "Ludwig", "surname": "Satz"}	iudvyg (ioy ytskhk) zats	{"primary-name": "iudvyg", "alternative-name": "ioy ytskhk", "surname": "zats"}
Bernard Sauer	{"given-name": "Bernard", "surname": "Sauer"}	bernard (beri zabiotsky) sauer	{"primary-name": "bernard", "given-name": "beri", "alternative-name": "beri zabiotsky", "surname": "sauer"}
Jubi Sauer	{"given-name": "Jubi", "surname": "Sauer"}	dzhuvy (vveie) sour	{"given-name": "dzhuvy", "alternative-name": "vveie", "surname": "sour"}
Rosa Schilling	{"given-name": "Rosa", "surname": "Schilling"}	roza (ryki vryh) shyiyng	{"given-name": "roza", "alternative-name": "ryki", "middle-name": "vryh", "surname": "shyiyng"}
Louis Schnitzer	{"given-name": "Louis", "surname": "Schnitzer"}	iuys (yshri-ieyv) shnytser	{"given-name": "iuys", "alternative-name": "yshri-ieyv", "surname": "shnytser"}
Adela Schwartz	{"given-name": "Adela", "surname": "Schwartz"}	adeia (ynkeishteyn) shvarts	{"given-name": "adeia", "alternative-name": "fynkeishteyn", "surname": "shvarts"}
Zvi Scooler	{"given-name": "Zvi", "surname": "Scooler"}	tsby skuier	{"primary-name": "skuier", "given-name": "tsby"}
Betty Segal	{"given-name": "Betty", "surname": "Segal"}	vety (giykman) segai	{"given-name": "vety", "alternative-name": "giykman", "surname": "segai"}
Amalia Segalesko	{"given-name": "Amalia", "surname": "Segalesko"}	amaiye (mikh) segaiesko	{"given-name": "amaiye", "alternative-name": "mikh", "surname": "segaiesko"}
Sheyne Rokhl Semkoff	{"given-name": "Sheyne", "middle-name": "Rokhl", "surname": "Semkoff"}	sheyne-rkhi (zamkov) symkof	{"primary-name": "sheyne-rkhi", "alternative-name": "zamkov", "surname": "symkof"}
Yenta Serdatski	{"given-name": "Yenta", "surname": "Serdatski"}	yente (reyvman) serdatsky	{"given-name": "yente", "alternative-name": "reyvman", "surname": "serdatsky"}
Muni Serebrov	{"given-name": "Muni", "surname": "Serebrov"}	muny (kheym zyiverrand) serevrov	{"given-name": "kheym", "alternative-name": "muny", "middle-name": "zyiverrand", "surname": "serevrov"}
B. Sereny	{"given-name": "B.", "surname": "Sereny"}	v (dub sryiovyten) sereny	{"given-name": "dub", "alternative-name": "sryiovyten", "surname": "sereny", "acronym": "b"}
Sevilla	{"surname": "Sevilla"}	pastor) sevyia (vs-shrh zygier	{"given-name": "pastor", "alternative-name": "sevyia", "surname": "zygier", "matronymic": "bs-shrh"}
Max Seyger	{"given-name": "Max", "surname": "Seyger"}	meks (mrdkhy) seyger	{"given-name": "mrdkhy", "alternative-name": "meks", "surname": "seyger"}
Anna Shapiro	{"given-name": "Anna", "surname": "Shapiro"}	anna (eny) shapyro	{"given-name": "anna", "alternative-name": "eny", "surname": "shapyro"}
Sani Shapiro	{"given-name": "Sani", "surname": "Shapiro"}	sony (nsni-dud) shapyro	{"primary-name": "shapyro", "given-name": "nsni-dud", "alternative-name": "sony", "surname": "shapyro"}
Sonia Sharavner	{"given-name": "Sonia", "surname": "Sharavner"}	sonya (soya vyner) sharavner	{"given-name": "sonya", "alternative-name": "soya", "surname": "sharavner", "nisba": "vyner"}
Dina Shayevitsh	{"given-name": "Dina", "surname": "Shayevitsh"}	dynh (yzeiskya) shayevytsh	{"given-name": "dynh", "alternative-name": "yzeiskya", "surname": "shayevytsh"}
Zigmund Shenkman	{"given-name": "Zigmund", "surname": "Shenkman"}	zygmund (zeynvi) shenkman	{"primary-name": "zygmund", "alternative-name": "zeynvi", "surname": "shenkman"}
Pinchas Sherman	{"given-name": "Pinchas", "surname": "Sherman"}	nkhs (shukhmakher) sherman	{"primary-name": "sherman", "given-name": "nkhs", "alternative-name": "shukhmakher"}
Shimansky	{"surname": "Shimansky"}	brhm-shmui shymansky (seymon)	{"given-name": "brhm-shmui", "alternative-name": "seymon", "surname": "shymansky"}
Shimele der Heyzeriker	{"given-name": "Shimele", "surname": "Heyzeriker", "qualifier": "der"}	shymeie der heyzeryker (shmyeie)	{"given-name": "shymeie", "alternative-name": "shmyeie", "professional-name": "der heyzeryker"}
Rose Shoshana	{"given-name": "Rose", "surname": "Shoshana"}	r shushnh	{"given-name": "shushnh"}
Augusta Shoyder	{"given-name": "Augusta", "surname": "Shoyder"}	ugusta (ioyer) shoyder	{"primary-name": "shoyder", "given-name": "ugusta", "alternative-name": "ioyer", "surname": "shoyder"}
Adolph Shrage	{"given-name": "Adolph", "surname": "Shrage"}	adoif (nsiy-yhushe) shrage	{"primary-name": "adoif", "alternative-name": "nsiy-yhushe", "surname": "shragh"}
Lyuba Shub	{"given-name": "Lyuba", "surname": "Shub"}	iyuva shuv	{"primary-name": "iyuva shuv"}
Sally Siegel	{"given-name": "Sally", "surname": "Siegel"}	saiy sygei	{"given-name": "saiy", "surname": "sygei"}
Sam Silberbush	{"given-name": "Sam", "surname": "Silberbush"}	sem (ysmr) zyivervush	{"primary-name": "zyivervush", "given-name": "sem", "alternative-name": "ysmr"}
Simon	{"given-name": "Simon"}	seymon	{"given-name": "seymun"}
Mae Simon	{"given-name": "Mae", "surname": "Simon"}	mey seymon	{"given-name": "mey", "surname": "seymun"}
Mrs. Simon	{"surname": "Simon", "salutation": "Mrs."}	roy (myshkynd) seymon	{"primary-name": "seymun", "given-name": "roy", "alternative-name": "myshkynd", "surname": "seymun"}
Regina Simovitsh	{"given-name": "Regina", "surname": "Simovitsh"}	regyna (kuvavytsh) symovytsh	{"primary-name": "regyna", "alternative-name": "kuvavytsh", "surname": "symovytsh"}
Abe Sincoff	{"given-name": "Abe", "surname": "Sincoff"}	eyv synkof	{"given-name": "eyv", "surname": "synkof"}
Frances Sincoff	{"given-name": "Frances", "surname": "Sincoff"}	rentsym (shapyro) synkof	{"primary-name": "rentsym", "alternative-name": "shapyro", "surname": "synkof"}
Madam Slonimski	{"surname": "Slonimski", "salutation": "Madam"}	madam (shtern) sionymsky	{"given-name": "madam", "alternative-name": "shtrn", "surname": "sionymsky"}
Rafael Smargonski	{"given-name": "Rafael", "surname": "Smargonski"}	ri (shmargon) smargonsky	{"given-name": "ri", "alternative-name": "shmargon", "surname": "smrgunsky"}
Aaron Soffe	{"given-name": "Aaron", "surname": "Soffe"}	hrn so	{"given-name": "hrn", "surname": "so"}
Lipman Sokolov	{"given-name": "Lipman", "surname": "Sokolov"}	iypman (sokoiovsky) sokoiov	{"primary-name": "sokoiov", "given-name": "iypman", "alternative-name": "sokoiovsky", "surname": "sokoiov"}
Nellie Solomonesco	{"given-name": "Nellie", "surname": "Solomonesco"}	neiy (zr) soiomonesko	{"given-name": "neiy", "alternative-name": "zr", "surname": "soiomonesko"}
Isidore Solotorefsky	{"given-name": "Isidore", "surname": "Solotorefsky"}	yzydor (ytskhk) zoiotaresky	{"primary-name": "yzydor", "given-name": "ytskhk", "alternative-name": "ytskhk", "surname": "zoiotaresky"}
Betty Spector	{"given-name": "Betty", "surname": "Spector"}	vety (magydov) spektor	{"primary-name": "spektor", "given-name": "vety", "alternative-name": "magydov", "surname": "spektor"}
Jonah Spivak	{"given-name": "Jonah", "surname": "Spivak"}	yunh (rumenye) spyvak	{"primary-name": "spyvak", "given-name": "yunh", "alternative-name": "rumenye", "nisba": "rumenye"}
Adolf Stein	{"given-name": "Adolf", "surname": "Stein"}	adoif (brhm) shteyn	{"given-name": "brhm", "alternative-name": "adoif", "surname": "shteyn"}
Sonia Strelska	{"given-name": "Sonia", "surname": "Strelska"}	sonye (soye) streiska	{"given-name": "sonye", "alternative-name": "soye", "surname": "streiska"}
